中国电信IPTV,#genre#
CCTV8,http://host.gaoxincloud.cn:4000/udp/239.109.205.90:8656
CCTV9,http://host.gaoxincloud.cn:4000/udp/239.110.205.8:9778
CCTV10,http://host.gaoxincloud.cn:4000/udp/239.110.205.9:9782
CCTV11,http://host.gaoxincloud.cn:4000/udp/239.109.205.102:8752
CCTV12,http://host.gaoxincloud.cn:4000/udp/239.110.205.10:9786
CCTV13,http://host.gaoxincloud.cn:4000/udp/239.110.205.99:7880
CCTV14,http://host.gaoxincloud.cn:4000/udp/239.110.205.20:9826
CCTV15,http://host.gaoxincloud.cn:4000/udp/239.109.205.103:8760
CCTV16,http://host.gaoxincloud.cn:4000/udp/239.110.205.136:7732
CCTV17,http://host.gaoxincloud.cn:4000/udp/239.109.205.88:8640
CCTV5+,http://host.gaoxincloud.cn:4000/udp/239.111.205.13:5140

第一剧场,http://host.gaoxincloud.cn:4000/udp/239.111.205.65:5140
风云剧场,http://host.gaoxincloud.cn:4000/udp/239.111.205.66:5140
怀旧剧场,http://host.gaoxincloud.cn:4000/udp/239.111.205.67:5140
风云足球,http://host.gaoxincloud.cn:4000/udp/239.111.205.68:5140
风云音乐,http://host.gaoxincloud.cn:4000/udp/239.111.205.69:5140
央视台球,http://host.gaoxincloud.cn:4000/udp/239.111.205.70:5140
世界地理,http://host.gaoxincloud.cn:4000/udp/239.111.205.71:5140
女性时尚,http://host.gaoxincloud.cn:4000/udp/239.111.205.72:5140
兵器科技,http://host.gaoxincloud.cn:4000/udp/239.111.205.74:5140
文化精品,http://host.gaoxincloud.cn:4000/udp/239.111.205.75:5140
CHC动作电影,http://host.gaoxincloud.cn:4000/udp/239.110.205.6:9770
CHC动作电影,http://host.gaoxincloud.cn:4000/udp/239.112.205.207:5140
CHC高清电影,http://host.gaoxincloud.cn:4000/udp/239.109.205.97:8712
CHC高清电影,http://host.gaoxincloud.cn:4000/udp/239.112.205.206:5140
CHC家庭影院,http://host.gaoxincloud.cn:4000/udp/239.112.205.205:5140

陕西卫视,http://host.gaoxincloud.cn:4000/udp/239.109.205.66:8464
东方卫视,http://host.gaoxincloud.cn:4000/udp/239.109.205.121:8904
湖南卫视,http://host.gaoxincloud.cn:4000/udp/239.109.205.163:9002
江苏卫视,http://host.gaoxincloud.cn:4000/udp/239.109.205.119:8368
浙江卫视,http://host.gaoxincloud.cn:4000/udp/239.109.205.120:8896
北京卫视,http://host.gaoxincloud.cn:4000/udp/239.109.205.162:8898
广东卫视,http://host.gaoxincloud.cn:4000/udp/239.109.205.188:9610
